ORF,Ara+2_R_seg1,Ara+2_R_seg2,Ara+2_R_seg3,Ara+2_R_seg4,Ara+2_R_seg5,Ara+2_2K_seg1,Ara+2_2K_seg2,Ara+2_2K_seg3,Ara+2_2K_seg4,Ara+2_2K_seg5,Ara+2_15K_seg1,Ara+2_15K_seg2,Ara+2_15K_seg3,Ara+2_15K_seg4,Ara+2_15K_seg5,Ara-1_R_seg1,Ara-1_R_seg2,Ara-1_R_seg3,Ara-1_2K_seg1,Ara-1_2K_seg2,Ara-1_2K_seg3,Ara-1_15K_seg1,Ara-1_15K_seg2,Ara-1_15K_seg3
D,-0.0032454530155078,-0.0116978287824501,,-0.0036768135312992,0.0502691445701303,0.0058638477008776,-0.0135503307908186,0.0387492082721013,-0.0056847603277117,,0.0233516928501796,0.0033447480410911,,0.0025381285400062,0.0252640574649196,-0.0267652323634586,,0.0120530819230681,0.0061556641732404,,-0.0606123626856591,0.0181180432842986,,-0.0353138947084282
ECB_00020,-0.0088968917124438,,,-0.0141926721264603,-0.0150481877917566,0.006485769685382,-0.0117329049748566,-0.0311409830770867,-0.0570103727144572,-0.0168533468230029,0.0027104873060586,-0.0059974992740651,,-0.0044010724478591,-0.0046041464594332,-0.0068862351213518,-0.0578634094871515,,-0.0037930216203524,,-0.0457595326021639,0.0127235611422707,,
ECB_00021,0.0148181106097184,0.0094466021970315,-0.0297283352840886,-0.0276629895100398,0.0064736308443773,0.0114204944151635,-0.0189642859995642,-0.0144598532200042,0.0070199582594146,-0.0063401993301094,-0.0130012163634574,-0.0193027907910502,0.0016989391181795,,-0.0906488058615326,-0.0063055024286062,,,-0.0143513690562925,-0.0346725108515219,-0.0034766582097005,-0.0060304343590933,,0.0268868757049021
ECB_00022,0.0012889797052191,,-0.10855786494368,-0.0030643874692759,,-0.0106613417746329,-0.072224308376958,-0.0796379749923684,0.0133592938824964,0.0036619011125837,,-0.0106286655992883,0.0023865254065329,0.0132680029232614,,-0.0070404048680281,,,-0.0094402952915829,-0.0220110096738245,,,,
ECB_00025,0.0100065463139839,-0.0532878814376541,0.0005969334246012,,,-0.0068249463812182,-0.0241844956618789,-0.0221560383781488,0.0205023832342503,,0.0174657350712656,-0.0117622567380872,,,,-0.0194472151735787,-0.0359358827782173,,-0.0711188129099545,-0.0064618881484804,-0.0325034757615474,0.0152416731693074,,
ECB_00134,0.0015924874730479,-0.01146495704764,-0.0205836585151739,0.0002636439288484,-0.0070190773025869,-0.0093706494434826,0.010848796513267,-0.0364285904278427,0.0357915038844502,0.0041152303810969,0.004788882636414,-0.0060162181638551,-0.0188427379615294,-0.0173268131484214,0.0149418498013163,-0.0130397466635884,-0.0348442878575711,-0.0178014376962925,-0.0054322948106788,-0.0046631965385385,-0.0049686813283133,-0.0171751383093675,-0.0118481534331755,0.0027714932185898
ECB_00212,-0.0321900760960214,0.0074406150538005,,-0.0038863234262061,,-0.0029659116731909,-0.012243874626681,,,,0.0135559586534109,0.008986966142015,,,,,,,0.0069665777780538,0.0165836471228165,-0.006626012044385,,,
ECB_00256,0.0030292178563457,0.0064249514507543,0.005201751161534,0.0049646606993731,0.0039137417819496,0.0083357949061798,-0.0032193818232823,0.0060451209820866,0.0094928354263609,0.0005353764908727,0.0002224587763214,0.0025668490489341,-0.0049646921559304,-0.0015227133211788,-0.0119556135362167,-0.0020569928921153,-0.0094296347053562,-0.0069469912584185,-0.0092627836030642,-0.0061397479943807,-0.0009189792767502,-0.0374616531273403,0.0034581057491333,0.0043270579980585
ECB_00265,-0.0560505561501807,-0.0060036156873354,0.0124774475760324,,,-0.0210096559560113,0.0041118870282352,-0.0056884257431285,,,,0.0061506631391263,-0.0398374247276729,,,-0.0366518443802692,-0.0706396365174022,,,-0.0025808594026998,,,0.0045282146866459,
ECB_00321,-0.0024550269930651,-0.0041964410310184,-0.0028753533213464,0.0047671850923163,0.0022037743322075,0.0021639616301281,-0.0038307142653676,-0.0024528989144245,0.0045000094436016,-0.0028251997891224,0.0050523632096817,-0.006692320070119,-1.58387136211713e-05,0.0070791359414694,0.0050900644151947,-0.0033141579742498,-0.0032772111844694,0.005791265871859,0.0010895840415572,0.001492759856938,-0.0029626839206338,0.0022002383644624,-0.0060289189406332,-0.0023311236033169
