Generation,m5,p2,p4,p1,m6,p5,m1,m2,m3,m4,p3,p6
0,-0.00701954175142606,-0.0026233968556836984,-0.016195393949917015,-0.04107363469525985,-0.008573308823031226,-0.004663271388730983,-0.0011965390074219612,-0.01540184127230297,0.0018784954372560226,-0.03566964932888122,-0.005097258999862581,-0.028712355666178708
500,0.050208691688278795,0.14961557792603628,0.039362296151725734,0.0853111375788881,0.05309593183431178,0.07767171744001045,0.03766411325584196,0.06783253282919852,0.08914532288931434,0.03519013593817425,0.10511281809783513,0.09583648339466827
1000,0.0849785661084301,0.14774697759867012,0.1289842654377249,0.1640879548075455,0.11063307856889909,0.13246749773132116,0.0540745663837155,0.1192524343575793,0.06782036154374979,0.047109872498770605,0.09335205818571479,0.10225735757513954
1500,0.15009089980000828,0.17659222194373808,0.15969351161356338,0.137655773323392,0.16702609851817485,0.169851839905946,0.07932565305738787,0.16057459500804203,0.13344838470745987,0.11702113879394507,0.12977997997069837,0.11735316472353405
2000,0.13695174280801156,0.20229423558714466,0.08495255130370516,0.15073096511952705,0.13811173835996904,0.1783485703324409,0.16501394255493598,0.13793851727599532,0.1404903954145201,0.1564010854632775,0.1694336738926941,0.12107997068616295
2500,0.18480067537005707,0.2001896185991962,0.19633980800433354,0.22208537169850331,0.12478943592958613,0.22061135252868835,0.1901294270446839,0.13708045545066178,0.14414030240871056,0.13437840332397416,0.2133016634182245,0.1814613773328187
3000,0.15594233859703405,0.23754081661705828,0.19448814163124878,0.18701670405312612,0.129254555200828,0.23650502603761137,0.12510583185002913,0.17827403132788816,0.15067153236713976,0.16320271767774447,0.20116296025235023,0.144881909544
3500,0.1575480311867447,0.21364123194800574,0.20576576944934838,0.17069308376394582,0.22664973331794688,0.21823584627519083,0.1657515078232645,0.2262418445850729,0.23535723991946156,0.15577342673971378,0.1769413309654439,0.15677933971773889
4000,0.20359077699802425,0.2577146383046153,0.19180573526315658,0.16211710796141854,0.20657738938901982,0.2321767195011546,0.19022971053032545,0.20931075981458896,0.14855591252891548,0.19496381789811706,0.18682131857338463,0.1862508047771602
4500,0.20154802405504912,0.2815539663023269,0.27412455422568527,0.20580815954483245,0.10823749025141875,0.19120507324895286,0.18833613966920038,0.18820243456133717,0.19056557573636074,0.12697061599851925,0.21759017204237896,0.0
5000,0.1789629502279343,0.2348706034084882,0.22840473649689627,0.13113801022239516,0.13700464225527853,0.24986525323625577,0.19018965041170413,0.2054266562276078,0.16074898548587205,0.18792931906129515,0.22964809445554696,0.0
